	Feature_1	Feature_2	pval	Correlation	Not_NAs	P_adusted	bh_fdr_threshold
366	X1	Y66	0.02141550157442774	0.3279721814547849	nan	214.15501574427742	0.6549299181254638
375	X1	Y75	0.033062320494592866	0.3050515086544998	nan	165.31160247296432	0.6549299181254638
5574	X27	Y74	0.036443194179371946	0.2966535433070866	nan	121.47731393123983	0.6549299181254638
374	X1	Y74	0.04023540815912691	0.294122261151493	nan	100.58852039781728	0.6549299181254638
3141	X15	Y41	0.042550403987361936	0.28799212598425195	nan	85.10080797472388	0.6549299181254638
3162	X15	Y62	0.042550403987361936	0.28799212598425195	nan	70.91733997893657	0.6549299181254638
3166	X15	Y66	0.04377287255220005	0.28638245624131736	nan	62.53267507457149	0.6549299181254638
5575	X27	Y75	0.045591011480972846	0.2840551181102362	nan	56.988764351216055	0.6549299181254638
5566	X27	Y66	0.048837969047051434	0.28008076217240063	nan	54.26441005227937	0.6549299181254638
4366	X21	Y66	0.04983872907905812	0.27889919453447876	nan	49.83872907905812	0.6549299181254638
362	X1	Y62	0.0503542686720587	0.28115358468859486	nan	45.77660788368973	0.6549299181254638
3174	X15	Y74	0.0508228544586897	0.277755905511811	nan	42.35237871557475	0.6549299181254638
5541	X27	Y41	0.0508228544586897	0.277755905511811	nan	39.0945034297613	0.6549299181254638
341	X1	Y41	0.05248676172878938	0.2786958113266747	nan	37.49054409199242	0.6549299181254638
5162	X25	Y62	0.05533869783262412	0.2755320817863306	nan	36.89246522174941	0.6549299181254638
7366	X36	Y66	0.05633742208480043	0.2716620927522072	nan	35.210888803000266	0.6549299181254638
3175	X15	Y75	0.05653137997008717	0.2714566929133858	nan	33.25375292358069	0.6549299181254638
3374	X16	Y74	0.05653137997008717	0.2714566929133858	nan	31.406322205603985	0.6549299181254638
16392	X81	Y92	0.05860902732599511	0.2692913385826772	nan	30.846856487365848	0.6549299181254638
17392	X86	Y92	0.05860902732599511	0.2692913385826772	nan	29.304513662997557	0.6549299181254638
18392	X91	Y92	0.05860902732599511	0.2692913385826772	nan	27.909060631426243	0.6549299181254638
7374	X36	Y74	0.05870490528504488	0.2691929133858268	nan	26.684047856838582	0.6549299181254638
1562	X7	Y62	0.05880090931111398	0.26909448818897636	nan	25.5656127439626	0.6549299181254638
4562	X22	Y62	0.05880090931111398	0.26909448818897636	nan	24.500378879630826	0.6549299181254638
1566	X7	Y66	0.06000464138095432	0.26787122991387446	nan	24.001856552381728	0.6549299181254638
3966	X19	Y66	0.06000464138095432	0.26787122991387446	nan	23.078708223443968	0.6549299181254638
5366	X26	Y66	0.06000464138095432	0.26787122991387446	nan	22.223941252205304	0.6549299181254638
5766	X28	Y66	0.06000464138095432	0.26787122991387446	nan	21.43022906462654	0.6549299181254638
4341	X21	Y41	0.06035421058070553	0.26751968503937007	nan	20.811796751967425	0.6549299181254638
17990	X89	Y90	0.06208748783534324	0.26580035955239295	nan	20.69582927844775	0.6549299181254638
3177	X15	Y77	0.062745736947937	0.2651574803149606	nan	20.240560305786133	0.6549299181254638
3962	X19	Y62	0.062745736947937	0.2651574803149606	nan	19.608042796230315	0.6549299181254638
5374	X26	Y74	0.062745736947937	0.2651574803149606	nan	19.013859681193033	0.6549299181254638
5562	X27	Y62	0.062745736947937	0.2651574803149606	nan	18.45462851409912	0.6549299181254638
2362	X11	Y62	0.06438181108176685	0.26358267716535433	nan	18.394803166219102	0.6549299181254638
16992	X84	Y92	0.06500405859153362	0.262992125984252	nan	18.05668294209267	0.6549299181254638
17192	X85	Y92	0.06500405859153362	0.262992125984252	nan	17.568664484198273	0.6549299181254638
17992	X89	Y92	0.06500405859153362	0.262992125984252	nan	17.106331208298318	0.6549299181254638
18398	X91	Y98	0.06500405859153362	0.262992125984252	nan	16.667707331162465	0.6549299181254638
18992	X94	Y92	0.06500405859153362	0.262992125984252	nan	16.2510146478834	0.6549299181254638
18998	X94	Y98	0.06500405859153362	0.262992125984252	nan	15.854648436959417	0.6549299181254638
19192	X95	Y92	0.06500405859153362	0.262992125984252	nan	15.477156807508003	0.6549299181254638
3341	X16	Y41	0.06521253859802476	0.26279527559055116	nan	15.16570665070343	0.6549299181254638
15956	X79	Y56	0.06557604651719223	0.26245324391358504	nan	14.903646935725506	0.6549299181254638
368	X1	Y68	0.06586001021671602	0.2648904460597187	nan	14.63555782593689	0.6549299181254638
5560	X27	Y60	0.06657825547320405	0.2615180204262711	nan	14.473533798522618	0.6549299181254638
5558	X27	Y58	0.06689966403305957	0.2612204724409449	nan	14.233971070863738	0.6549299181254638
5577	X27	Y77	0.06689966403305957	0.2612204724409449	nan	13.93743000688741	0.6549299181254638
11983	X59	Y83	0.0673268356401875	-0.2608267716535433	nan	13.740170538813777	0.6549299181254638
17190	X85	Y90	0.06834793120353967	0.25989368489567316	nan	13.669586240707934	0.6549299181254638
16990	X84	Y90	0.06878253250644986	0.25949990658522515	nan	13.486771079696052	0.6549299181254638
18390	X91	Y90	0.06921932969228575	0.25910612827477714	nan	13.311409556208798	0.6549299181254638
4941	X24	Y41	0.06949539748413289	0.2588582677165354	nan	13.112339147949601	0.6549299181254638
4962	X24	Y62	0.06949539748413289	0.2588582677165354	nan	12.869518052617202	0.6549299181254638
5571	X27	Y71	0.06949539748413289	0.2588582677165354	nan	12.635526815296888	0.6549299181254638
358	X1	Y58	0.06950899135870736	0.2615175443183601	nan	12.412319885483457	0.6549299181254638
15953	X79	Y53	0.07065417353598132	0.25782634876582117	nan	12.395469041400231	0.6549299181254638
15967	X79	Y67	0.07110038415471931	0.2574325704553732	nan	12.258686923227469	0.6549299181254638
3762	X18	Y62	0.07126992647827432	0.25728346456692913	nan	12.079648555639714	0.6549299181254638
16398	X81	Y98	0.07194457274671139	0.2566929133858268	nan	11.990762124451898	0.6549299181254638
16792	X83	Y92	0.07194457274671139	0.2566929133858268	nan	11.794192253559244	0.6549299181254638
18192	X90	Y92	0.07194457274671139	0.2566929133858268	nan	11.603963346243772	0.6549299181254638
7362	X36	Y62	0.07205750459830805	0.2565944881889764	nan	11.43769914258858	0.6549299181254638
3366	X16	Y66	0.07313476978037256	0.2556616976553483	nan	11.427307778183213	0.6549299181254638
5542	X27	Y42	0.07336509184931006	0.25546367890313326	nan	11.286937207586163	0.6549299181254638
4375	X21	Y75	0.07399893997478706	0.2549212598425197	nan	11.211960602240463	0.6549299181254638
18990	X94	Y90	0.07510081903237778	0.2539870102389533	nan	11.209077467519073	0.6549299181254638
566	X2	Y66	0.07545094591607177	0.25369241825881184	nan	11.09572734059879	0.6549299181254638
15790	X78	Y90	0.07556912019474944	0.2535932319285053	nan	10.952046405036151	0.6549299181254638
18190	X90	Y90	0.07603972601519168	0.2531994536180573	nan	10.86281800217024	0.6549299181254638
18590	X92	Y90	0.07603972601519168	0.2531994536180573	nan	10.709820565519955	0.6549299181254638
5567	X27	Y67	0.0767499718222892	0.2526087861523853	nan	10.659718308651277	0.6549299181254638
574	X2	Y74	0.07681000890461309	0.2525590551181102	nan	10.521919028029192	0.6549299181254638
3168	X15	Y68	0.07681000890461309	0.2525590551181102	nan	10.379730933055823	0.6549299181254638
3574	X17	Y74	0.07681000890461309	0.2525590551181102	nan	10.24133452061508	0.6549299181254638
4374	X21	Y74	0.07681000890461309	0.2525590551181102	nan	10.106580119028038	0.6549299181254638
3140	X15	Y40	0.07740562096366194	0.25206734097551936	nan	10.052678047228822	0.6549299181254638
2762	X13	Y62	0.07820348682450125	0.25401349160696546	nan	10.026088054423237	0.6549299181254638
18396	X91	Y96	0.07946024104606851	0.2503937007874016	nan	10.058258360261837	0.6549299181254638
5341	X26	Y41	0.07970469694232273	0.25019685039370076	nan	9.96308711779034	0.6549299181254638
5362	X26	Y62	0.07970469694232273	0.25019685039370076	nan	9.840086042262064	0.6549299181254638
4566	X22	Y66	0.0807505368644499	0.2493600035864316	nan	9.847626446884133	0.6549299181254638
3541	X17	Y41	0.08168171487544854	0.24862204724409448	nan	9.841170466921511	0.6549299181254638
6766	X33	Y66	0.08224552486287864	0.24817843594850972	nan	9.791133912247457	0.6549299181254638
360	X1	Y60	0.0825125962580557	0.25053612138879194	nan	9.707364265653611	0.6549299181254638
15949	X79	Y49	0.08268456472147612	0.24783464566929134	nan	9.614484269939084	0.6549299181254638
3566	X17	Y66	0.0832541962945141	0.2473907241898951	nan	9.569447849944149	0.6549299181254638
3167	X15	Y67	0.08331690363646338	0.24734200125014347	nan	9.467829958689022	0.6549299181254638
1762	X8	Y62	0.08356996203511732	0.24714566929133858	nan	9.389883374732284	0.6549299181254638
17984	X89	Y84	0.08388875478706083	0.2468990006508895	nan	9.32097275411787	0.6549299181254638
3941	X19	Y41	0.08471923406884507	0.24625984251968505	nan	9.309805941631327	0.6549299181254638
4574	X22	Y74	0.08471923406884507	0.24625984251968505	nan	9.208612398787508	0.6549299181254638
16390	X81	Y90	0.08542873840755222	0.2457176657195455	nan	9.185885850274431	0.6549299181254638
16394	X81	Y94	0.08646762679827115	0.24493010909864954	nan	9.19868370194374	0.6549299181254638
15969	X79	Y69	0.0865981794620969	0.24483166452103752	nan	9.115597838115464	0.6549299181254638
373	X1	Y73	0.08669685289967007	0.2472932738885612	nan	9.030922177048966	0.6549299181254638
3562	X17	Y62	0.08679291263700464	0.24468503937007874	nan	8.94772295226852	0.6549299181254638
4362	X21	Y62	0.08679291263700464	0.24468503937007874	nan	8.85641965683721	0.6549299181254638
4966	X24	Y66	0.08686113347769195	0.24463373303474403	nan	8.77385186643353	0.6549299181254638
15792	X78	Y92	0.08758069278206819	0.2440944881889764	nan	8.75806927820682	0.6549299181254638
15992	X79	Y92	0.08758069278206819	0.2440944881889764	nan	8.671355720996852	0.6549299181254638
15998	X79	Y98	0.08758069278206819	0.2440944881889764	nan	8.586342429614529	0.6549299181254638
16396	X81	Y96	0.08758069278206819	0.2440944881889764	nan	8.502979881754193	0.6549299181254638
17396	X86	Y96	0.08758069278206819	0.2440944881889764	nan	8.421220459814249	0.6549299181254638
17982	X89	Y82	0.08758069278206819	0.2440944881889764	nan	8.341018360196971	0.6549299181254638
17996	X89	Y96	0.08758069278206819	0.2440944881889764	nan	8.262329507742283	0.6549299181254638
18592	X92	Y92	0.08758069278206819	0.2440944881889764	nan	8.185111474959644	0.6549299181254638
18792	X93	Y92	0.08758069278206819	0.2440944881889764	nan	8.109323405747055	0.6549299181254638
19182	X95	Y82	0.08758069278206819	0.2440944881889764	nan	8.034925943309009	0.6549299181254638
2941	X14	Y41	0.08784452370253278	0.2438976377952756	nan	7.985865791139343	0.6549299181254638
2962	X14	Y62	0.08784452370253278	0.2438976377952756	nan	7.913921054282232	0.6549299181254638
4541	X22	Y41	0.08784452370253278	0.2438976377952756	nan	7.8432610448689974	0.6549299181254638
6162	X30	Y62	0.08784452370253278	0.2438976377952756	nan	7.773851655091396	0.6549299181254638
6966	X34	Y66	0.08791380592010098	0.24384602127612945	nan	7.711737361412367	0.6549299181254638
5573	X27	Y73	0.08830942471752298	0.24355188501208155	nan	7.67908041021939	0.6549299181254638
1766	X8	Y66	0.08831111655807403	0.24355062936664898	nan	7.61302728948914	0.6549299181254638
4974	X24	Y74	0.089977575248794	0.24232283464566928	nan	7.690391046905471	0.6549299181254638
345	X1	Y45	0.09015353349264983	0.24470532866182085	nan	7.640129957004223	0.6549299181254638
11989	X59	Y89	0.09072449039223808	-0.24177827790976614	nan	7.623906755650259	0.6549299181254638
3766	X18	Y66	0.09113166576742084	0.24148288600028567	nan	7.594305480618403	0.6549299181254638
15990	X79	Y90	0.09181100708546092	0.24099232599416964	nan	7.587686535988506	0.6549299181254638
19190	X95	Y90	0.09181100708546092	0.24099232599416964	nan	7.525492384054173	0.6549299181254638
18984	X94	Y84	0.09290987002095669	0.24020476937327365	nan	7.553647969183471	0.6549299181254638
1574	X7	Y74	0.09325258059142019	0.23996062992125985	nan	7.520369402533886	0.6549299181254638
3375	X16	Y75	0.09325258059142019	0.23996062992125985	nan	7.460206447313615	0.6549299181254638
3774	X18	Y74	0.09325258059142019	0.23996062992125985	nan	7.400998459636523	0.6549299181254638
5568	X27	Y68	0.09325258059142019	0.23996062992125985	nan	7.342722881214188	0.6549299181254638
7162	X35	Y62	0.09325258059142019	0.23996062992125985	nan	7.285357858704702	0.6549299181254638
162	X0	Y62	0.09436459025105529	0.23917322834645668	nan	7.315084515585681	0.6549299181254638
6762	X33	Y62	0.09548686477362309	0.23838582677165354	nan	7.345143444124853	0.6549299181254638
5166	X25	Y66	0.09548959401173567	0.24085798604316302	nan	7.289281985628676	0.6549299181254638
15982	X79	Y82	0.09633534088899766	0.2377952755905512	nan	7.298131885530125	0.6549299181254638
16386	X81	Y86	0.09633534088899766	0.2377952755905512	nan	7.24325871345847	0.6549299181254638
16798	X83	Y98	0.09633534088899766	0.2377952755905512	nan	7.189204543955049	0.6549299181254638
17998	X89	Y98	0.09633534088899766	0.2377952755905512	nan	7.13595117696279	0.6549299181254638
18198	X90	Y98	0.09633534088899766	0.2377952755905512	nan	7.083480947720416	0.6549299181254638
18796	X93	Y96	0.09633534088899766	0.2377952755905512	nan	7.031776707226106	0.6549299181254638
18982	X94	Y82	0.09633534088899766	0.2377952755905512	nan	6.980821803550555	0.6549299181254638
18996	X94	Y96	0.09633534088899766	0.2377952755905512	nan	6.930600063956666	0.6549299181254638
19196	X95	Y96	0.09633534088899766	0.2377952755905512	nan	6.881095777785546	0.6549299181254638
19392	X96	Y92	0.09633534088899766	0.2377952755905512	nan	6.832293680070756	0.6549299181254638
7377	X36	Y77	0.09647731968332109	0.23769685039370078	nan	6.7941774424874	0.6549299181254638
3158	X15	Y58	0.09661946051558962	0.2375984251968504	nan	6.756605630460812	0.6549299181254638
6141	X30	Y41	0.09661946051558962	0.2375984251968504	nan	6.709684758027056	0.6549299181254638
2766	X13	Y66	0.09792104450749388	0.23916000314201483	nan	6.75317548327544	0.6549299181254638
541	X2	Y41	0.0989158403768595	0.23602362204724409	nan	6.775057560058871	0.6549299181254638
3575	X17	Y75	0.0989158403768595	0.23602362204724409	nan	6.728968733119695	0.6549299181254638
5777	X28	Y77	0.0989158403768595	0.23602362204724409	nan	6.683502728166183	0.6549299181254638
9317	X46	Y17	0.0994279097192563	0.2356763188031218	nan	6.673014075117872	0.6549299181254638
371	X1	Y71	0.09955384226396316	0.23803796475448413	nan	6.636922817597544	0.6549299181254638
17390	X86	Y90	0.10089052421386153	0.2346918730270018	nan	6.6814916697921545	0.6549299181254638
5141	X25	Y41	0.10226224338763588	0.2362077079956074	nan	6.727779170239203	0.6549299181254638
1575	X7	Y75	0.10243921984518485	0.23366141732283466	nan	6.695373846090513	0.6549299181254638
3171	X15	Y71	0.10243921984518485	0.23366141732283466	nan	6.6518973925444715	0.6549299181254638
3974	X19	Y74	0.10243921984518485	0.23366141732283466	nan	6.608981925495797	0.6549299181254638
3975	X19	Y75	0.10243921984518485	0.23366141732283466	nan	6.566616656742619	0.6549299181254638
5775	X28	Y75	0.10243921984518485	0.23366141732283466	nan	6.524791072941711	0.6549299181254638
5975	X29	Y75	0.10243921984518485	0.23366141732283466	nan	6.483494926910434	0.6549299181254638
6774	X33	Y74	0.10243921984518485	0.23366141732283466	nan	6.44271822925691	0.6549299181254638
4166	X20	Y66	0.10332650697442657	0.23549872370627048	nan	6.45790668590166	0.6549299181254638
7766	X38	Y66	0.10470069790731161	0.2321780408516508	nan	6.503148938342336	0.6549299181254638
15939	X79	Y39	0.10547405113060736	0.23167642880293918	nan	6.510743896951071	0.6549299181254638
16192	X80	Y92	0.1057531976610441	0.231496062992126	nan	6.4879262368738715	0.6549299181254638
16382	X81	Y82	0.1057531976610441	0.231496062992126	nan	6.4483657110392745	0.6549299181254638
16592	X82	Y92	0.1057531976610441	0.231496062992126	nan	6.409284706729945	0.6549299181254638
16996	X84	Y96	0.1057531976610441	0.231496062992126	nan	6.3706745578942225	0.6549299181254638
17198	X85	Y98	0.1057531976610441	0.231496062992126	nan	6.332526806050545	0.6549299181254638
17398	X86	Y98	0.1057531976610441	0.231496062992126	nan	6.294833194109768	0.6549299181254638
17796	X88	Y96	0.1057531976610441	0.231496062992126	nan	6.257585660416811	0.6549299181254638
18986	X94	Y86	0.1057531976610441	0.231496062992126	nan	6.220776333002594	0.6549299181254638
19398	X96	Y98	0.1057531976610441	0.231496062992126	nan	6.184397524037666	0.6549299181254638
19792	X98	Y92	0.1057531976610441	0.231496062992126	nan	6.148441724479309	0.6549299181254638
7341	X36	Y41	0.1059057663853015	0.23139763779527558	nan	6.121720600306444	0.6549299181254638
7375	X36	Y75	0.1059057663853015	0.23139763779527558	nan	6.0865382980058325	0.6549299181254638
4373	X21	Y73	0.10598780598517916	0.23134475738819388	nan	6.056446056295953	0.6549299181254638
1541	X7	Y41	0.10605850408706767	0.2312992125984252	nan	6.02605136858339	0.6549299181254638
3362	X16	Y62	0.10605850408706767	0.2312992125984252	nan	5.9920058806252925	0.6549299181254638
9583	X47	Y83	0.10667114680883186	-0.23090551181102362	nan	5.992761056675946	0.6549299181254638
18987	X94	Y87	0.10690749810347727	0.23075408992252192	nan	5.972485927568562	0.6549299181254638
11990	X59	Y90	0.10698441462766531	-0.2307048676337159	nan	5.943578590425851	0.6549299181254638
575	X2	Y75	0.10852537543444501	0.2297244094488189	nan	5.995877095825691	0.6549299181254638
3741	X18	Y41	0.10852537543444501	0.2297244094488189	nan	5.962932716178297	0.6549299181254638
3977	X19	Y77	0.10852537543444501	0.2297244094488189	nan	5.930348384395902	0.6549299181254638
4977	X24	Y77	0.10852537543444501	0.2297244094488189	nan	5.898118230132881	0.6549299181254638
775	X3	Y75	0.10961835454482305	0.22903543307086613	nan	5.925316461882327	0.6549299181254638
16184	X80	Y84	0.11001740095971488	0.22878519837028197	nan	5.914914030092198	0.6549299181254638
16384	X81	Y84	0.11001740095971488	0.22878519837028197	nan	5.883283473781544	0.6549299181254638
5174	X25	Y74	0.11060381412257773	0.2307953772943576	nan	5.883181602264773	0.6549299181254638
18584	X92	Y84	0.11064760409301776	0.22839142005983396	nan	5.8543705869321565	0.6549299181254638
18384	X91	Y84	0.11128056389142338	0.22799764174938597	nan	5.856871783759126	0.6549299181254638
16190	X80	Y90	0.11191628710409873	0.227603863438938	nan	5.859491471418782	0.6549299181254638
16790	X83	Y90	0.11191628710409873	0.227603863438938	nan	5.8289732866718085	0.6549299181254638
3160	X15	Y60	0.11223518709611735	0.22740697428371398	nan	5.8152946681926085	0.6549299181254638
975	X4	Y75	0.11227400773691484	0.22974951628928517	nan	5.787319986438909	0.6549299181254638
2741	X13	Y41	0.11227400773691484	0.22974951628928517	nan	5.757641422405889	0.6549299181254638
5375	X26	Y75	0.11230779676588723	0.22736220472440946	nan	5.7299896309126135	0.6549299181254638
5762	X28	Y62	0.11230779676588723	0.22736220472440946	nan	5.700903389131331	0.6549299181254638
18394	X91	Y94	0.11319605069941911	0.22681630681804202	nan	5.71697225754642	0.6549299181254638
361	X1	Y61	0.11371590847524696	0.22885611672999145	nan	5.714367260062661	0.6549299181254638
16194	X80	Y94	0.11384010451029561	0.226422528507594	nan	5.69200522551478	0.6549299181254638
7166	X35	Y66	0.11433268503320519	0.22612250670730114	nan	5.688193285234089	0.6549299181254638
16380	X81	Y80	0.11448694859150754	0.22602875019714602	nan	5.667670722351859	0.6549299181254638
1741	X8	Y41	0.11472241471925632	0.22588582677165353	nan	5.651350478781099	0.6549299181254638
562	X2	Y62	0.11488478448941107	0.22578740157480315	nan	5.631607082814268	0.6549299181254638
2341	X11	Y41	0.11488478448941107	0.22578740157480315	nan	5.60413582875176	0.6549299181254638
4358	X21	Y58	0.11488478448941107	0.22578740157480315	nan	5.576931285893742	0.6549299181254638
18980	X94	Y80	0.11513658962092714	0.22563497188669804	nan	5.562154087967494	0.6549299181254638
766	X3	Y66	0.11522592343393942	0.2255809548732536	nan	5.539707857400933	0.6549299181254638
18380	X91	Y80	0.11578903426157014	0.22524119357625005	nan	5.540145179979433	0.6549299181254638
15996	X79	Y96	0.1158626816590158	0.2251968503937008	nan	5.517270555191228	0.6549299181254638
16796	X83	Y96	0.1158626816590158	0.2251968503937008	nan	5.4911223535078575	0.6549299181254638
17196	X85	Y96	0.1158626816590158	0.2251968503937008	nan	5.4652208329724425	0.6549299181254638
17592	X87	Y92	0.1158626816590158	0.2251968503937008	nan	5.439562519202619	0.6549299181254638
17792	X88	Y92	0.1158626816590158	0.2251968503937008	nan	5.414144002757747	0.6549299181254638
17986	X89	Y86	0.1158626816590158	0.2251968503937008	nan	5.3889619376286415	0.6549299181254638
18196	X90	Y96	0.1158626816590158	0.2251968503937008	nan	5.364013039769249	0.6549299181254638
18382	X91	Y82	0.1158626816590158	0.2251968503937008	nan	5.33929408566893	0.6549299181254638
18582	X92	Y82	0.1158626816590158	0.2251968503937008	nan	5.314801910964027	0.6549299181254638
18978	X94	Y78	0.1158626816590158	0.2251968503937008	nan	5.290533409087479	0.6549299181254638
19198	X95	Y98	0.1158626816590158	0.2251968503937008	nan	5.266485529955263	0.6549299181254638
2366	X11	Y66	0.1158788820572972	0.22518709899394632	nan	5.243388328384488	0.6549299181254638
7358	X36	Y58	0.11602627858128874	0.2250984251968504	nan	5.226408945103096	0.6549299181254638
4162	X20	Y62	0.11618842248774124	0.22734403597761857	nan	5.210243160885257	0.6549299181254638
