Feature_1	Y0	Y1	Y10	Y11	Y12	Y13	Y14	Y15	Y16	Y17	Y18	Y19	Y2	Y20	Y21	Y22	Y23	Y24	Y25	Y26	Y27	Y28	Y29	Y3	Y30	Y31	Y32	Y33	Y34	Y35	Y36	Y37	Y38	Y39	Y4	Y40	Y41	Y42	Y43	Y44	Y45	Y46	Y47	Y48	Y49	Y5	Y50	Y51	Y52	Y53	Y54	Y55	Y56	Y57	Y58	Y59	Y6	Y60	Y61	Y62	Y63	Y64	Y65	Y66	Y67	Y68	Y69	Y7	Y70	Y71	Y72	Y73	Y74	Y75	Y76	Y77	Y78	Y79	Y8	Y80	Y81	Y82	Y83	Y84	Y85	Y86	Y87	Y88	Y89	Y9	Y90	Y91	Y92	Y93	Y94	Y95	Y96	Y97	Y98	Y99
Y0	1.0	0.9033083891295786	0.8735968885387948	0.8899172902717606	0.9155345717915758	0.9277416994154634	0.9174871996849154	0.8824340291453329	0.8919111855061047	0.8245126033871604	0.8969820795588815	0.9531803859787318	0.9320598660890115	0.9277416994154634	0.8729568727845609	0.9068777077589603	0.9206536898273996	0.8647371697437851	0.8781256322990167	0.9060653800708941	0.9033083891295786	0.9100216754453039	0.9289230343468073	0.9533372895945829	0.90884034051396	0.8706438444005049	0.9214412464482956	0.9001821583300512	0.9293028751476959	0.8899389816124564	0.9206872784560851	0.8938804647499016	0.938730799527373	0.11497452088247527	0.9245766049625838	0.10139326506498623	0.0943099053522935	0.10826112642772746	0.13486907132843645	0.0761522567460567	0.036030715405991044	0.14707619895232413	0.08992221346987002	0.0727093723096296	0.1466824206418761	0.8970269912005202	0.17070289757920348	0.13014780599054296	0.18887849547065774	0.08881449389523434	0.1561638440330839	0.052948995667585666	0.103362544308783	0.159742925029903	0.09982280169856535	0.14514024974969145	0.8831971248523041	0.11074734147302089	0.10912268609688854	0.06713920193138222	0.1671588927851716	0.14983252586436518	0.06005119234331841	-0.04045203939016204	0.037810161480898	0.1738531240627874	0.0546967309964553	0.9056961402126822	0.1325064014657485	0.15258909529859596	0.15731443502397183	0.11599054745962978	0.075802324761238	0.13683796288067637	0.1345017723513194	0.14746997726277208	-0.1548533205836719	-0.1623498160308755	0.912810161480898	-0.2147006695549429	-0.09703623473808587	-0.16902933975979953	-0.16233510848218372	-0.12514769594328476	-0.15564087720456787	-0.08318566808213779	-0.19020775896022055	-0.0678283139746662	-0.09432243633822929	0.8932896809767626	-0.17757975580937377	-0.13083284364634454	-0.11468793291797696	-0.12179992122883025	-0.10673493501378496	-0.20379578574241827	-0.07452254525228202	-0.10208702698364129	-0.1658791132762156	-0.15943777077589602
Y1		1.0	0.8821386372587633	0.8880464749901537	0.8607993866393051	0.9068714489617199	0.9207611264277274	0.9059176841276094	0.9156656163844034	0.8675413548641198	0.8608458054352108	0.9036283970066956	0.9559373769200474	0.9068714489617199	0.9214257581725088	0.9063361559669161	0.907659005582616	0.8879700900602164	0.8816696370930488	0.9340045293422607	0.901462189838519	0.8804883021617047	0.9517621763527908	0.9446741667647269	0.945461723385623	0.8926954297855924	0.9198661332065037	0.9087977550216622	0.9148779046868846	0.9068714489617199	0.9084285151634502	0.9356291847183931	0.8866925955100434	0.15634466332894312	0.9403062229224105	0.10651339109885781	0.1462886423314281	0.11141197321780227	0.13368773639709244	0.1399940937142187	0.06674542362093423	0.17267178913144343	0.05733064198503347	0.08064040817809191	0.21756251652251427	0.9202599115169516	0.2305572007672979	0.14596061663511686	0.20581429696731	0.12192300118156756	0.1995126033871603	0.08997144545096494	0.12344919259551004	0.18818489796184965	0.12541839187768467	0.16602232165124184	0.8933389129578575	0.20374655376132336	0.12765852697912564	0.150620203746356	0.1974798226896668	0.17949355203021453	0.09234101380005356	0.03441993369899362	0.04918274911382434	0.17975979871950723	0.09253150846790076	0.875	0.18291002520309113	0.16597755785382762	0.18330380351353917	0.1537760929499803	0.11242370763290102	0.12463083525678871	0.17430582906656164	0.16046466150755576	-0.11847804915603886	-0.0696277342637725	0.9315429302875148	-0.12047065773926742	-0.017698897203623477	-0.06256152907242434	-0.04956684482764069	-0.020652816069318628	-0.0566548544157045	0.003593227082837905	-0.10892575817250885	0.005955896945525842	0.01691451677482734	0.9093146908231587	-0.09002067743205987	-0.032240599167929145	-0.02121480647538544	-0.01654194564789287	-0.0025846790074832613	-0.10552875147695943	0.019738137811205477	0.009893680050005738	-0.10508958660080722	-0.07192792437967704
Y10			1.0	0.9325521858999607	0.8923016514751444	0.9316794825199434	0.9329214257581725	0.9130563213863725	0.9467063804647499	0.9014375738479716	0.907296179598267	0.9270874359984246		0.9127781236184397	0.9335122095313115	0.9288597873178418	0.9253790295527754	0.9391612704184551	0.9175034633438157	0.9346937770775896	0.8971297755021662	0.9131719019288879	0.9364048222453192		0.9308919258990472	0.8989958827527601	0.8903327599229044	0.9275797558093739	0.9085023631350926	0.9182910199647116	0.9182010634107918	0.9268658920834975	0.903702244978338	0.23726269194745112		0.21174675068924773	0.2124433984866904	0.21681764474202442	0.23922032359715367	0.24187512779607537	0.18527269506577912	0.2699350318120968	0.15786234738085864	0.1733497839821047	0.29513684368076815		0.29356173043897626	0.2106404308915828	0.25790173296573454	0.1942201654194565	0.264621898385191	0.17514277274517526	0.1878692398582119	0.2829914744016719	0.22819453090460992	0.26028714622569366		0.2541354864119732	0.2293225679401339	0.20968695031355444	0.2876550557822564	0.22935560930569546	0.16597755785382762	0.10680520199301455	0.12187376920047263	0.27702304140016065	0.17940133910988576		0.23685765373446574	0.24394566332252954	0.28686749916136034	0.22639326506498622	0.2309509790777459	0.2148060683493783	0.2441906262307995	0.22504430442102602	-0.17690490596875932	-0.12847154080210926		-0.19724793225679402	-0.13272942103190233	-0.15367198565232792	-0.1280763954732086	-0.11672902717605357	-0.14107107971799226	-0.07688521511496996	-0.1707857424182749	-0.07334121032093804	-0.06448197879661252		-0.1499359984245766	-0.12374483405828071	-0.113112819676185	-0.10872883024812918	-0.09358999606144151	-0.1831675856636471	-0.11193148474484103	-0.0827918897716898	-0.188324476971751	-0.1829706577392674
Y11				1.0	0.8730065142631929	0.8934829864064884	0.9349645529736117	0.9047853485624262	0.9207611264277274	0.9400600630169359	0.8742615202835763	0.9271858999606144		0.8871825334393205	0.907616187475384	0.9118993698306421	0.9198661332065037	0.9186847982751597	0.8871825334393205	0.9092408428515163	0.908157739267428	0.9198661332065037	0.906083892340824		0.9190785765856077	0.8793069672303607	0.9068714489617199	0.8820401732965735	0.9215488381252462	0.9509746197318949	0.8938066167782592	0.9210319023237497	0.8866679795194959	0.2000049386608405		0.23296573454115796	0.22740697428371398	0.2185899960614415	0.22110652131654615	0.2553427270330922	0.16637133616427557	0.26009057405089714	0.13844033083891297	0.14679805520507874	0.27820437633150463		0.3104941977882398	0.1975369803262972	0.27985919653406854	0.20187573847971643	0.2861608901142182	0.177432059866089	0.17149960614415122	0.28592185949163	0.24473321994342553	0.24952598417265412		0.26243107522646714	0.22772252855454905	0.2305572007672979	0.2711163667434408	0.2512072124694067	0.18684780830757106	0.12660035699586925	0.11495667585663646	0.27347903660612877	0.15318530917684128		0.21756251652251427	0.2923803955076323	0.27741681971060866	0.22154391492713668	0.23922032359715367	0.25063989460014535	0.2731636471051595	0.2341012055613298	-0.27244536854120277	-0.22793973260749853		-0.2669604174871997	-0.19449094131547856	-0.22282930142475613	-0.21613507014714028	-0.20962977550216622	-0.21692262676803625	-0.16297499823666167	-0.2779145332808193	-0.16061232837397374	-0.18160331256350284		-0.25071386372587634	-0.22479819297699608	-0.20786572562773248	-0.2083497439936983	-0.20537120913745568	-0.2898040567152422	-0.19841504617698075	-0.18266391375906113	-0.28544005278598644	-0.25982178022843644
Y12					0.9999999999999999	0.8992125984251969	0.8871825334393205	0.8615869432602011	0.8930892080960403	0.8474109240840736	0.9257728078632235	0.947430614937863		0.8677165354330709	0.9131719019288879	0.9108092320661999	0.874015748031496	0.8488188976377953	0.9181102362204723	0.9143532368602318	0.8867887551288726	0.905511811023622	0.9244094488188976		0.9118110236220472	0.9244094488188976	0.8803149606299212	0.9328608174512873	0.8737940708840889	0.905511811023622	0.9521559546632388	0.8997834393736561	0.941130161970695	0.1798262099868935		0.1721303439545774	0.15334645669291339	0.14377830560232222	0.16751968503937006	0.19082317352438477	0.13208661417322834	0.19901574803149605	0.16582989098740963	0.16499217100767982	0.19901574803149605		0.21791338582677164	0.20311275021960346	0.22568419417550403	0.1209391635963388	0.20638905696355253	0.1355089610829144	0.1366902960142584	0.2178398556905851	0.15098425196850393	0.21001062037078333		0.20978539489116643	0.19757826726727876	0.1635826771653543	0.23051181102362203	0.18448284815593335	0.12578740157480314	0.04755809742635595	0.10612325466573319	0.2824803149606299	0.09234101380005356		0.2029527559055118	0.20531496062992124	0.23051181102362203	0.19890726906504075	0.1470472440944882	0.21397637795275587	0.18591258482025708	0.2061023622047244	-0.14507874015748032	-0.15252068926175025		-0.2236168580456521	-0.1318665117112705	-0.18523622047244095	-0.17893700787401576	-0.11404804316349898	-0.14114173228346458	-0.07421259842519684	-0.1431384158478442	-0.07185039370078738	-0.08595904565881729		-0.16794644940606757	-0.09704724409448817	-0.10570866141732281	-0.11217759618887103	-0.10454814142394124	-0.18345147037995715	-0.08444881889763779	-0.06791338582677164	-0.1513779527559055	-0.13683796288067637
Y13						0.9999999999999999	0.9202599115169516	0.9100216754453039	0.9206536898273996	0.8159086592482344	0.907659005582616	0.9301043692781514		0.9244094488188976	0.9210474681378475	0.9415239402811431	0.9433070866141732	0.9181102362204723	0.8803149606299212	0.9391612704184551	0.8812758587826007	0.8992125984251969	0.9433070866141732		0.9244094488188976	0.8929133858267716	0.8992125984251969	0.9592439642513025	0.8950580996482802	0.9307086614173227	0.9206536898273996	0.9194723548960555	0.9230163596900876	0.16249356324116881		0.09731246496945943	0.12185039370078737	0.11582004556051494	0.1108267716535433	0.11008271826638914	0.05649606299212598	0.17381889763779526	0.0791986626888519	0.08934202931580036	0.18011811023622049		0.17381889763779526	0.12667458621843358	0.17646190536950532	0.09140579031273957	0.17685568367995333	0.059903525476900414	0.12330183345902673	0.17647785777465125	0.13208661417322834	0.14777066160204474		0.14914353508217604	0.1286670629388806	0.10059055118110236	0.18011811023622049	0.14743849520179134	0.06909448818897637	0.0046278065818607245	0.06910809348362217	0.18799212598425197	0.08210277772840584		0.1651574803149606	0.15492125984251967	0.18011811023622049	0.1362965177038104	0.1029527559055118	0.13208661417322834	0.13038984304709056	0.14940944881889762	-0.1498031496062992	-0.10919654253794774		-0.17281945599786142	-0.09248868066647155	-0.12696850393700787	-0.12066929133858267	-0.08254577832765983	-0.12066929133858267	-0.05374015748031496	-0.14156330260605227	-0.0702755905511811	-0.054056719434926334		-0.1171490473582769	-0.10177165354330708	-0.07263779527559054	-0.08106910966347985	-0.06517031037914227	-0.15667454526949387	-0.0639763779527559	-0.06633858267716536	-0.1498031496062992	-0.14274463753739622
Y14							1.0	0.9311244584482079	0.9479617959826703	0.8943481685703032	0.9089700669554943	0.9367369042930288		0.9265603644841194	0.9151240645923592	0.9256597085466719	0.9332545957617352	0.9068714489617199	0.9131719019288879	0.9285397794407246	0.9018560456872785	0.9529435112841348	0.945461723385623		0.9458555016960709	0.8934829864064884	0.9273479211050154	0.9104224103977945	0.9550758172508862	0.9395550487289032	0.9214257581725088	0.954534265458842	0.9189395431272155	0.1397227310959873		0.1317201654194565	0.14589486402098015	0.12527077589602206	0.15219531698814798	0.1257878692905282	0.06556408868959027	0.17857846378816325	0.07660496258369437	0.09162563177229746	0.17109667588965147		0.2033864973463866	0.11871923256518112	0.2121406065380071	0.1085319023237495	0.17945057109098073	0.08960220559275306	0.110058093737692	0.17400084912306069	0.13801929781202035	0.16442169113992022		0.17740744387554155	0.13989267428121308	0.1171490473582769	0.18999803479115496	0.15185262897532834	0.08604056083288572	0.007657081101850512	0.04881350925561245	0.21795629483296222	0.06616778259157148		0.14983264712546002	0.17897224209861126	0.18960425648070697	0.14710515951161876	0.13171884484485252	0.16322110968069167	0.1601270185112249	0.17897224209861126	-0.18345147037995715	-0.1409296856173387		-0.20354962583694372	-0.11256892477353289	-0.15943099344262976	-0.11454026605155897	-0.1214060653800709	-0.1472238658187421	-0.08028155304258387	-0.18814001575423395	-0.059017524278392436	-0.06738723786419568		-0.16089011421819616	-0.10981492632618309	-0.12477850212320671	-0.1256153997636865	-0.10493796770382041	-0.19490941315478535	-0.10312069504856727	-0.09367001559781551	-0.2086532822486285	-0.15705001969279245
Y15								1.0	0.9441217014572667	0.848488578180386	0.879972430090587	0.926570500196928		0.9100216754453039	0.9017083497439938	0.9274566758566364	0.9037212224781361	0.9104154537557518	0.8856074201975286	0.9261520283576211	0.8815232374950768	0.9171096850333676	0.9163221284124717		0.9537310679050307	0.8426855843586977	0.941130161970695	0.9328475777865302	0.912588617565971	0.9352234873139752	0.8946189444663253	0.9383369436786136	0.8856833398975975	0.13923022940019603		0.11473513194170933	0.15180153867769997	0.10065478534856243	0.1163614907373809	0.13438054229549873	0.06320141882690232	0.16597755785382762	0.04898582118944466	0.08054188599339052	0.1844851384448831		0.18409136013443514	0.11783253290286858	0.1742073651043718	0.09669161087042143	0.16160397794407244	0.07227254824734149	0.09157148483654982	0.1666871989405601	0.13014373160306056	0.15676328977036574		0.1841029933044506	0.12015064986215046	0.12463083525678871	0.1781846854777153	0.1505715879781322	0.04469383823584682	0.010783927725435771	0.0546967309964553	0.20535538889862656	0.06296770382040173		0.16322110968069167	0.14116952429560425	0.16085843981800374	0.13489562820007878	0.1092734811493171	0.12463083525678871	0.14708054352107128	0.1655837795433796	-0.2157412918366923	-0.14287473194224606		-0.22484245766049626	-0.1524468294604175	-0.19329592814115687	-0.1625812199262137	-0.13455100433241435	-0.19920260279787672	-0.1397420779202303	-0.2211008270972824	-0.11887182746648686	-0.09685838281247562		-0.1837583694367861	-0.15549321033814986	-0.12714117198589464	-0.1469082315872391	-0.1195844820795589	-0.2158576211106735	-0.13737940805754237	-0.13265406833216647	-0.20353416421280462	-0.1844968491532099
Y16									1.0	0.893954312721544	0.9199487987396613	0.9442201654194565		0.9395550487289032	0.9415124064592361	0.9504480110279637	0.9147470151706798	0.9395550487289032	0.9131719019288879	0.9347922410397793	0.9219673099645529	0.9261665861736714	0.9395550487289032		0.9328608174512873	0.9127781236184397	0.9135656802393358	0.9296967309964553	0.9156656163844034	0.9324670391408394	0.9352107128790863	0.9356045687278456	0.9000590783773139	0.2075648396912367		0.17349350137849548	0.19511715282697883	0.18713076014178814	0.19551093113742685	0.20615028960062493	0.14116952429560425	0.2411892151493936	0.1061687672311934	0.14802958251384618	0.24670211149566548		0.2530025644628333	0.1857635792544805	0.24795687278456086	0.17666896415911776	0.24126132335565184	0.12544308782985428	0.17184423001181567	0.2398483258503554	0.1998424925523547	0.23696719092997637		0.25812327688066167	0.20172804253643165	0.17267178913144343	0.2526087861523853	0.19878307319953348	0.12896239667171658	0.06908607579354514	0.11655671524222135	0.2667848053285129	0.1287908625443088		0.2183500731434102	0.22110652131654615	0.2455207765643215	0.20224497833792832	0.18763536492846702	0.20496161058817858	0.2349596297755022	0.22780075259416196	-0.20958850573594245	-0.15449576821257868		-0.2234147302087436	-0.1513391098857818	-0.17926757583144726	-0.15997243861949578	-0.1148828278849941	-0.16075999524039175	-0.10011813543140134	-0.1772597479322568	-0.09145501260154557	-0.07543825239893882		-0.18036136274123674	-0.1363457399926164	-0.12531994730007268	-0.11948601811736903	-0.11141197321780227	-0.1891492713666798	-0.1095688148821531	-0.08791100780751368	-0.1965938214911588	-0.17765360378101616
Y17										1.0	0.8549379677038204	0.8806862938164632		0.8163024375586824	0.9076408034659315	0.8808093737692004	0.8485922590154176	0.8938767647169363	0.9005709959945521	0.888711106734935	0.8951604962583695	0.8737940708840889	0.8544989336721375		0.8993896610632082	0.8741878491945368	0.8867887551288725	0.8229125640015754	0.893954312721544	0.8863949768184246	0.8749261520283576	0.882015557306026	0.8363036628593935	0.2556822553700452		0.31055533674675073	0.2797794895732966	0.2622587632926349	0.2801732678837446	0.3030332932526563	0.21283717679713834	0.2998621834061441	0.17625049231981096	0.19576358100167213	0.3435715758658709		0.3825556286002218	0.23940890882439014	0.31801398188263097	0.26602500984639627	0.3373129184718393	0.22272548247341475	0.19274320598660893	0.35336996673024634	0.27820437633150463	0.31108869614656465		0.2879824734147302	0.24741532099251673	0.30891908454644784	0.30458752313151993	0.318289416995659	0.21992518638520217	0.15885365681395341	0.1409265458842064	0.31285686765092774	0.19845411579361955		0.27662926308971264	0.3187635423076476	0.3171884290658556	0.26723119338322177	0.2789919329524006	0.27702304140016065	0.31801398188263097	0.2872612774718084	-0.32467021696436743	-0.28565098052626897		-0.32387258763292637	-0.25930484442693974	-0.2817483811255366	-0.26245324391358504	-0.27363135092556123	-0.2498523379792494	-0.21519984665982628	-0.31759551004332415	-0.20693050214041853	-0.22124286424832385		-0.314321583300512	-0.2577279041882092	-0.26639102701806494	-0.25265852697912566	-0.26385880267821976	-0.32822961795982675	-0.25063989460014535	-0.21559362497027432	-0.32427643865391936	-0.3053613627412367
